OBJECTID,REF_CODE,THEME,NAME,STATUS,MEASURE,GRIDREF,LABEL,HYPERLINK,Shape__Area,Shape__Length,GlobalID
129,1421873,country parks,FARLEY MOUNT,Known as a Country Park,111.05,SU428295,FARLEY MOUNT (Country Park),,1110546.64038467,11118.9097276426,0a9c59b8-bf4a-446b-9d48-2707123d67b2
130,1421875,country parks,FERMYN WOODS,Known as a Country Park,113.87,SP962852,FERMYN WOODS (Country Park),GSP001256,1138666.51409912,5831.83187972518,b5532b49-5972-43a5-bf16-7ce53f91eb6e
131,1421878,country parks,FLITCH WAY,Known as a Country Park,39.24,TL569210,FLITCH WAY (Country Park),,392398.146522522,44482.2589475299,2f839275-2e14-41e8-92e6-fb2c607b8b93
132,1421879,country parks,FOREST WAY,Known as a Country Park,32.88,TQ406366,FOREST WAY (Country Park),,328833.286308289,28262.1849705393,d613e48e-df4c-44aa-a647-88ade3fb093a
133,1443061,country parks,FOWLMEAD,Known as a Country Park,95.17,TR356539,FOWLMEAD (Country Park),,951735.740203857,4198.09484473655,6d741520-fcca-44dd-9e64-c666fb6e8ca3
134,1443059,country parks,FAIRLOP WATERS,Known as a Country Park,64.68,TQ458904,FAIRLOP WATERS (Country Park),,646810.174758911,4785.97027206022,cd3dd70b-c181-4f52-8096-07099f1d5241
135,1442987,country parks,FARWAY,Known as a Country Park,32.07,SY186941,FARWAY (Country Park),,320692.188596725,2992.83134778534,c7644cd1-3f0a-4a25-9793-aef139df98e5
136,1421874,country parks,FELL FOOT,Known as a Country Park,7.19,SD380869,FELL FOOT (Country Park),,71852.9463348389,1437.17676289996,370ef37b-1e5f-469a-b037-052db7560ff2
137,1443038,country parks,FOX CORNER,Known as a Country Park,6.27,SU961545,FOX CORNER (Country Park),,62681.6441345215,1575.38124143108,fdefdb80-8bca-4e28-9bb1-739031fa48a5
138,1421881,country parks,FRENSHAM,Known as a Country Park,357.73,SU855405,FRENSHAM (Country Park),,3577266.19148636,18193.2287297301,9dcd4cc3-c724-4c8d-a18e-850b0494bdc5
139,1442988,country parks,FITZWILLIAM,Known as a Country Park,68.7,SE422155,FITZWILLIAM (Country Park),,686963.20703125,3936.78373393806,53e382de-94d5-4042-88a2-a033d8f7f4ca
