OBJECTID,REF_CODE,THEME,NAME,STATUS,MEASURE,GRIDREF,LABEL,HYPERLINK,Shape__Area,Shape__Length,GlobalID
228,1421990,country parks,NEWHALL VALLEY,Known as a Country Park,86.58,SP129946,NEWHALL VALLEY (Country Park),GSP001622,865760.703567505,13306.8973750615,35504306-5b85-448b-b847-f6feefb760db
229,1421942,country parks,NEWMILLERDAM,Known as a Country Park,97.87,SE335149,NEWMILLERDAM (Country Park),,978699.42565918,5365.90680074296,d3dc292a-006a-42c3-ac98-b929896fbc8c
230,1421943,country parks,NORMANBY HALL,Known as a Country Park,73.03,SE887162,NORMANBY HALL (Country Park),,730310.112609863,5260.2637813699,d7f5ed27-3166-4cb1-9051-ab7e249d6014
231,1442996,country parks,NORSEY WOOD,Known as a Country Park,66.8,TQ687954,NORSEY WOOD (Country Park),,667987.231796265,4701.68425632337,a765037a-5bfd-4108-a312-d15572fc0e97
232,1451110,country parks,NORTH WIRRAL COASTAL,Known as a Country Park,69.49,SJ254913,NORTH WIRRAL COASTAL (Country Park),GSP003104,694944.699028015,14534.0515239502,865dfd9a-23f3-44fe-8062-d45061a65eae
233,1421944,country parks,NORTHAM BURROWS,Known as a Country Park,259.22,SS443306,NORTHAM BURROWS (Country Park),,2592226.70035172,7921.55806190672,b779070e-3110-475c-9b57-8db9c53369ed
234,1442995,country parks,MANOR PARK,Known as a Country Park,20.85,TQ680571,MANOR PARK (Country Park),,208533.430076599,2019.65946765425,be4eaa32-b125-497b-8a12-5ed4e0be1a4f
235,1421934,country parks,MAPLEDURHAM,Known as a Country Park,8.4,SU667769,MAPLEDURHAM (Country Park),,84048.5587997437,1874.23468648061,31efedc8-bf4b-4e59-b752-8aa1ca3ea27e
236,1421935,country parks,MARBURY,Known as a Country Park,341.69,SJ658754,MARBURY (Country Park),,3416948.51068115,12033.4337629086,ac6ad620-4a48-4fd6-b97b-9fc112725995
237,1442722,country parks,MARKET BOSWORTH PARK,Known as a Country Park,35.66,SK413029,MARKET BOSWORTH PARK (Country Park),GSP003198,356595.389823914,2996.62294792955,8afb9b62-2022-4bca-86eb-e81a8eb5161f
238,1421936,country parks,MARSH FARM,Known as a Country Park,196.35,TQ818963,MARSH FARM (Country Park),,1963487.18965912,18265.2760187009,3f6c4580-fb8f-406a-b437-94c32ae5497a
239,1442723,country parks,MATLOCK PARKS,Known as a Country Park,32.43,SK297589,MATLOCK PARKS (Country Park),,324283.043884277,9932.52698569736,afd59096-e546-464b-aa57-7c0cb1b685cd
240,1442728,country parks,MINET,Known as a Country Park,68.53,TQ110801,MINET (Country Park),GSP002045,685309.225578308,13152.4911426242,c8ac0ee9-1039-4242-a593-a3213ea87524
241,1420350,country parks,MOORS VALLEY,Accredited,583.26,SU114060,MOORS VALLEY (Country Park),,5832552.97802734,12561.8906075797,1f9e1309-7e80-4da1-96a3-ed3d3eb7060b
242,1421940,country parks,MOSES GATE,Known as a Country Park,99.92,SD742067,MOSES GATE (Country Park),GSP001564,999225.768508911,8874.36294262473,2f094e2e-6f18-4322-8154-da370d63d306
243,1443082,country parks,MOULDON HILL,Known as a Country Park,56.79,SU117877,MOULDON HILL (Country Park),,567941.494186401,7347.22557176589,a46c94a8-6c48-46ab-8225-663ade357a51
244,1421937,country parks,MARSTON VALE MILLENNIUM,Known as a Country Park,223.48,TL006417,MARSTON VALE MILLENNIUM (Country Park),GSP001560,2234799.09770203,6915.03960507078,adf73d01-7110-423d-8ad9-3be2e4109515
245,1460467,country parks,MELTON PARK,Known as a Country Park,57.11,SK759205,MELTON PARK (Country Park),,571105.948440552,4357.42639442983,d6329ee1-3d26-417e-860c-7196193deda1
246,1460794,country parks,MERSEY VALE,Accredited,14.56,SJ873901,MERSEY VALE (Country Park),,145639.845718384,3124.05699982351,de37564b-c223-4b5a-b866-60ec7f40db04
247,1443081,country parks,MIDLAND RAILWAY CENTRE,Known as a Country Park,11.11,SK419515,MIDLAND RAILWAY CENTRE (Country Park),,111084.043502808,3019.75181675212,63300b09-97a8-4b6d-9682-29a94a1edbce
248,1421939,country parks,MILTON,Known as a Country Park,32.72,TL479621,MILTON (Country Park),,327169.487625122,3316.60454360686,3aee5883-406f-4d4a-8f0b-f2a5c8a2d689
249,1421941,country parks,MOUNT EDGCUMBE,Known as a Country Park,363.41,SX451520,MOUNT EDGCUMBE (Country Park),,3634126.71653748,36207.272105747,4f6c27ca-ad36-4a32-af77-6c6f5c0c2510
250,1443083,country parks,NEIGH BRIDGE,Known as a Country Park,7.9,SU016947,NEIGH BRIDGE (Country Park),,78968.7434616089,1377.98871388774,c25fb5a5-9f40-4db6-b224-2fe03de55ee7
251,1443069,country parks,NENE PARK,Known as a Country Park,203.91,TL147976,NENE PARK (Country Park),,2039135.20878601,6877.00993605635,c500ef22-c45b-4b5e-b147-22dbf4288abd
252,1442742,country parks,NETHERWOOD,Known as a Country Park,17.09,SE394042,NETHERWOOD (Country Park),,170912.950912476,2258.13473737564,f9e8012d-a497-4d36-ba59-f218028a60d1
253,1442943,country parks,NORTHAW GREAT WOOD,Known as a Country Park,123.41,TL284042,NORTHAW GREAT WOOD (Country Park),,1234062.86468506,6352.96184110941,7581dcc8-be7e-41ba-b9e0-637594232df2
254,1443161,country parks,NORTHLANDS WOOD,Known as a Country Park,118.68,TQ689859,NORTHLANDS WOOD (Country Park),,1186796.14241791,11198.7564248422,a2070170-e3fb-407b-bf63-bbc62ddfde8c
255,1443089,country parks,NOWTON PARK,Known as a Country Park,67.37,TL867617,NOWTON PARK (Country Park),GSP001259,673737.997970581,4257.32690682911,9b577038-f884-4303-9ba4-dd6a72c17670
256,1421945,country parks,OAKWELL HALL,Accredited,41.36,SE217270,OAKWELL HALL (Country Park),GSP001348,413554.060531616,5721.22776380082,e85c7681-2d56-4d23-9ed3-2bc5a12e3737
257,1421946,country parks,OGDEN WATER,Known as a Country Park,62.68,SE059310,OGDEN WATER (Country Park),GSP001017,626780.018814087,5556.96693000594,e15b8c49-3895-483b-8da8-2096ac1d73b6
258,1443160,country parks,OLDBURY HALL ESTATE,Known as a Country Park,53.67,ST633768,OLDBURY HALL ESTATE (Country Park),,536708.785625458,8240.68798411073,c0dd74d4-892d-4f95-8d1f-5761aff2c837
259,1421948,country parks,ORWELL,Known as a Country Park,91.6,TM181414,ORWELL (Country Park),,915992.24307251,9737.59243220401,e8abbe32-4814-426b-bab0-318d8a43816a
260,1421959,country parks,RISING SUN,Known as a Country Park,150.46,NZ300688,RISING SUN (Country Park),,1504551.10284424,6370.09903701655,c79e3fa9-a56f-4ae4-a5c6-667c02bbb460
261,1421960,country parks,RIVER DART,Known as a Country Park,26.49,SX733701,RIVER DART (Country Park),,264876.978481293,2839.21055772693,1cb527b6-a03b-4595-9480-9a03471bf61d
262,1421963,country parks,ROBINSWOOD HILL,Known as a Country Park,99.31,SO839152,ROBINSWOOD HILL (Country Park),,993120.905754089,6948.43232109896,a6939604-6073-4738-abd2-b860c0583b67
263,1421965,country parks,ROTHER VALLEY,Known as a Country Park,307.69,SK455825,ROTHER VALLEY (Country Park),GSP001339,3076880.20690918,13731.4659149291,09c0e211-fec9-46d4-ab57-68edfc7509dd
264,1421966,country parks,ROUGHWOOD,Known as a Country Park,100.56,SJ984010,ROUGHWOOD (Country Park),,1005592.13580322,9113.45148151039,b082561a-6bd1-4670-bcb7-bb1d6b966350
265,1421970,country parks,RUTLAND WATER,Known as a Country Park,1553.34,SK892066,RUTLAND WATER (Country Park),,15533391.6404266,40171.0335520191,580cb862-b694-40a4-b8f6-188afef72b55
266,1443040,country parks,RIVERSIDE,Known as a Country Park,31.28,TQ817676,RIVERSIDE (Country Park),GSP002500,312773.849113464,4768.27837069843,cf77351e-cc3a-402e-b361-164e1c8f4bfe
267,1443002,country parks,ROBIN HILL,Known as a Country Park,24.12,SZ536878,ROBIN HILL (Country Park),,241169.911502838,2842.76894321753,bacf7214-3418-4c28-98c0-f3a45700f8ee
268,1421971,country parks,SALTBURN VALLEY,Accredited,23.41,NZ665209,SALTBURN VALLEY (Country Park),GSP001340,234055.247970581,5261.51331425601,7fd93a31-71c6-4ccb-949a-f61cfca1f2de
269,1443072,country parks,SALTERSFORD WOOD,Known as a Country Park,5.86,SK322135,SALTERSFORD WOOD (Country Park),,58596.3756942749,1097.9442960806,d3b13a78-a4a3-4cb2-84a6-75baf2b5d974
270,1456158,country parks,OTLEY CHEVIN,Known as a Country Park,175.17,SE215443,OTLEY CHEVIN (Country Park),GSP003358,1751685.28282166,13169.3034412924,23c1a6ea-1549-483f-b0cd-240492ce6a1a
271,1421949,country parks,PARK HALL,Known as a Country Park,132.18,SJ929447,PARK HALL (Country Park),,1321789.42116547,8273.85885891519,7a2c9d3f-c533-4a45-ad0b-7acb87b58201
272,1443092,country parks,PEENE QUARRY,Known as a Country Park,4.81,TR189382,PEENE QUARRY (Country Park),,48133.4795379639,1575.99543033165,b692fab6-9171-419a-b474-006c4baed260
273,1443093,country parks,PEGWELL BAY,Known as a Country Park,29.07,TR341631,PEGWELL BAY (Country Park),,290674.851722717,3498.78468649354,6ade4af2-d5c6-4b20-8244-47834ae4acb3
274,1442998,country parks,PENISTONE HILL,Known as a Country Park,71.1,SE021367,PENISTONE HILL (Country Park),,711015.820007324,4135.49025030957,18c70426-4342-4953-b539-e6c95a38aefe
275,1442999,country parks,PENNINGTON FLASH,Known as a Country Park,179.7,SJ639991,PENNINGTON FLASH (Country Park),,1796979.69424438,6939.99852065942,102c5e6b-c166-47e7-b13e-f785673885a3
276,1443037,country parks,PEWLEY DOWN NATURE RESERVE,Known as a Country Park,9.52,TQ008489,PEWLEY DOWN NATURE RESERVE (Country Park),,95154.4621276855,1634.84412374215,4e6583c9-276e-44ce-a0d3-b56d1481f828
277,1421950,country parks,PEX HILL,Known as a Country Park,11.52,SJ500887,PEX HILL (Country Park),,115188.642990112,1903.10120376559,3879b716-283c-4fdc-b742-4671c7b6b251
278,1443094,country parks,PHOENIX PARK,Known as a Country Park,64.55,SE466050,PHOENIX PARK (Country Park),GSP003217,645489.717666626,3967.4118562993,29352f98-e05f-47fb-a9e2-b3c13b1e5cd9
279,1442718,country parks,PISHIOBURY PARK,Known as a Country Park,35.92,TL479139,PISHIOBURY PARK (Country Park),,359236.783027649,3365.68369485597,b4bf3d64-2eab-4f24-9e19-bf209713a0b8
280,1442724,country parks,PLEASLEY PIT,Known as a Country Park,87.74,SK494645,PLEASLEY PIT (Country Park),,877356.391540527,10364.5766205069,eaf69958-6903-4520-bbbd-c3f4d12d737f
281,1421951,country parks,PLESSEY WOODS,Known as a Country Park,33.44,NZ239799,PLESSEY WOODS (Country Park),,334415.282577515,3920.03089977315,814ac978-ca57-48f6-88b7-fba3dbafa3be
282,1443028,country parks,POOLEY,Known as a Country Park,64.42,SK256036,POOLEY (Country Park),,644179.481124878,5187.94118595798,23554ee8-31fe-41bf-813d-2b284503e5bf
283,1443035,country parks,POOLSBROOK,Known as a Country Park,71.17,SK436735,POOLSBROOK (Country Park),,711651.343383789,8173.69663016024,e0af11cf-0d2b-4787-a343-b7557fc0b937
284,1442749,country parks,PORTLAND PARK,Known as a Country Park,9.43,SK499551,PORTLAND PARK (Country Park),GSP000975,94302.5097503662,1733.34188681803,816229c6-5813-44d0-920e-840c3cdb0229
285,1442725,country parks,POULTER,Known as a Country Park,74.34,SK525710,POULTER (Country Park),,743362.231277466,6323.33350184555,714e80c4-5fd1-481c-b19b-336a56a60c9e
286,1442731,country parks,POW HILL,Known as a Country Park,18.7,NZ009516,POW HILL (Country Park),,187022.463699341,2074.43174414391,97aa1cc0-43d4-4d93-b16c-319cdca96844
287,1443095,country parks,PRESTWICH,Known as a Country Park,195.46,SD800034,PRESTWICH (Country Park),,1954595.70297241,16756.4213511256,76232295-b854-4a1b-ab9a-82f0b4542a71
288,1421952,country parks,PRIORY,Known as a Country Park,105.94,TL074492,PRIORY (Country Park),GSP001265,1059383.82950592,6252.68794987393,2049f2dd-d805-4e33-a319-dc1ddbb47aa5
289,1443000,country parks,PUGNEYS,Known as a Country Park,68.49,SE329179,PUGNEYS (Country Park),,684872.501907349,4072.35288275005,37f4dc78-fe72-4c7b-adf7-0b23690e3591
290,1421953,country parks,QUARRY BANK MILL AND STYAL ESTATE,Known as a Country Park,84.32,SJ834825,QUARRY BANK MILL AND STYAL ESTATE (Country Park),,843193.099182129,8129.43606445393,f65b2f69-3ae0-4b69-a88f-0a3f8e272f6b
291,1442946,country parks,QUEEN'S PARK,Known as a Country Park,24.57,TQ673965,QUEEN'S PARK (Country Park),,245687.957168579,2331.10627942895,57fbc398-f71d-46cc-9708-c77123842c72
292,1421954,country parks,QUEEN ELIZABETH,Accredited,571.43,SU721193,QUEEN ELIZABETH (Country Park),GSP001158,5714257.62369537,21691.0752628607,159d972f-a0e9-44ad-aea5-b75aa478cbaf
293,1421955,country parks,QUEEN ELIZABETH II,Known as a Country Park,59.72,NZ285887,QUEEN ELIZABETH II (Country Park),GSP001558,597240.808273315,4018.64198852781,0035d977-6317-4af7-88f3-f8d3e6ebdf0d
294,1421956,country parks,QUEENSWOOD,Known as a Country Park,66.88,SO505512,QUEENSWOOD (Country Park),,668837.291824341,5468.79622379235,28899255-dedf-46db-8202-ac226513bcbf
295,1443001,country parks,RANSCOMBE FARM,Known as a Country Park,301.72,TQ707680,RANSCOMBE FARM (Country Park),,3017205.26918793,7401.23094205934,75a4f3ac-514e-4dfd-8fc6-471b64c2dab3
296,1443019,country parks,RAWCLIFFE,Known as a Country Park,11.99,SE577544,RAWCLIFFE (Country Park),GSP003551,119928.66569519,1561.71785565544,c68bde3e-beca-4e14-aa8b-008ee26659cb
297,1421957,country parks,RECULVER,Known as a Country Park,27.21,TR216689,RECULVER (Country Park),GSP001019,272133.374580383,6023.05988477953,259f8be0-3f50-47df-9840-4d13b8393bed
298,1442952,country parks,"RED, WHITE & BLUE",Known as a Country Park,8.25,TL493227,"RED, WHITE & BLUE (Country Park)",,82456.3154678345,1341.40663639471,5d7818ea-05e5-4ce6-8d3f-9cbb76ce6c26
299,1421958,country parks,REDDISH VALE,Accredited,160.98,SJ906918,REDDISH VALE (Country Park),GSP002102,1609801.65713501,18355.7307792126,9a8f06f3-b298-4043-be75-dfb6c19dd6aa
300,1443096,country parks,RIMROSE VALLEY,Known as a Country Park,106.15,SJ332987,RIMROSE VALLEY (Country Park),,1061489.2490921,9096.84782310584,1d61cd1c-279a-4afa-af8b-52c4e956b32a
301,1443029,country parks,RIVACRE,Known as a Country Park,47.27,SJ381772,RIVACRE (Country Park),,472746.485977173,9850.31550376784,ab48189b-5aff-4243-9816-cb11ad154457
302,1421961,country parks,RIVER LEE,Known as a Country Park,1153.69,TL377036,RIVER LEE (Country Park),,11536898.9092026,18746.7900726302,dfb26f86-d628-487a-849b-1ed7ddcef4b6
303,1421962,country parks,RIVERSIDE NATURE RESERVE,Known as a Country Park,34.23,TQ005517,RIVERSIDE NATURE RESERVE (Country Park),GSP003334,342322.251670837,4604.23004822096,533409fe-2e69-42c4-9c13-c14ca649341c
304,1421981,country parks,SNELSMORE COMMON,Known as a Country Park,55.96,SU460711,SNELSMORE COMMON (Country Park),,559649.078643799,4416.69793882665,3bd1c668-1ef2-4a93-a009-118a46867bfe
305,1443080,country parks,SNIBSTON,Known as a Country Park,29.79,SK416141,SNIBSTON (Country Park),,297924.026947021,5683.79422154536,22c45f5e-287f-4cd7-a025-363f94a7b48b
306,1421984,country parks,STALYBRIDGE,Known as a Country Park,42.98,SJ981990,STALYBRIDGE (Country Park),,429762.212463379,8911.2308689723,c8b3fb82-3528-48ab-9841-81920208edc7
307,1442720,country parks,STANBOROUGH PARK,Known as a Country Park,52.56,TL228111,STANBOROUGH PARK (Country Park),GSP000946,525557.829307556,6042.97573621001,b0baa0e6-5da3-4a3f-8242-555e199f1bf9
308,1443108,country parks,STANMORE,Known as a Country Park,60.55,TQ168930,STANMORE (Country Park),,605498.634315491,6523.11154302152,a9ad9649-67d1-4f5a-8771-d95cd57ee87a
309,1442729,country parks,SOUTH NORWOOD,Known as a Country Park,43.78,TQ352682,SOUTH NORWOOD (Country Park),,437795.02482605,4410.23092688573,6f9f846f-9125-4402-a295-be3f0cfdd344
310,1443107,country parks,SPICEBALL,Known as a Country Park,18.74,SP457412,SPICEBALL (Country Park),,187411.900543213,2518.02359558881,8202594c-2496-4ac9-8175-8b9ec775d52a
311,1451106,country parks,ST FAITH'S,Known as a Country Park,16.91,TQ586937,ST FAITH'S (Country Park),,169142.634788513,2330.92507708935,fd171871-95ee-4306-8a8d-8fefa2218255
312,1421967,country parks,ROYAL VICTORIA,Known as a Country Park,55.34,SU463078,ROYAL VICTORIA (Country Park),GSP001022,553405.122272491,3674.38784388058,5377ecce-c5dd-4554-af58-9245d22a83b3
313,1443099,country parks,ROYDEN PARK,Known as a Country Park,36.62,SJ244857,ROYDEN PARK (Country Park),GSP003102,366234.178070068,4874.26651518831,ada4232d-ffb7-4486-9bb6-c8b295380553
314,1421968,country parks,RUFFORD,Accredited,62.47,SK645651,RUFFORD (Country Park),GSP001266,624704.04258728,4006.79140732436,b4e3ea36-6ee4-41b7-8ba2-43d0d8a6d0c6
315,1421969,country parks,RUSHCLIFFE,Accredited,81.33,SK573320,RUSHCLIFFE (Country Park),GSP001413,813250.651367188,8775.71993548355,6f2e6728-86b8-40da-b6a7-e113f7a69751
316,1443100,country parks,RYTON POOLS,Known as a Country Park,39.88,SP372724,RYTON POOLS (Country Park),,398821.183372498,3366.80474253727,2c1e21d9-b459-48ea-a3cc-f551d53de17e
317,1443102,country parks,SAMPHIRE HOE,Known as a Country Park,32.14,TR291389,SAMPHIRE HOE (Country Park),GSP001156,321401.285957336,4058.76537575736,4d05d9a4-8168-4f98-84ee-e51b584d3564
318,1443003,country parks,SANDRINGHAM,Known as a Country Park,203.67,TF682282,SANDRINGHAM (Country Park),,2036705.3739624,11617.9382729412,0a4dcd4d-4af2-4df2-bbc9-5add8f01946a
319,1421972,country parks,SANDWELL VALLEY,Accredited,144.72,SP026921,SANDWELL VALLEY (Country Park),GSP002088,1447184.74390411,10632.7898086613,51ffb787-5e81-42ef-a439-bc2538921eb6
320,1443103,country parks,SANKEY VALLEY PARK,Known as a Country Park,36.03,SJ546958,SANKEY VALLEY PARK (Country Park),,360302.897476196,12287.8881410949,0216b190-073f-4772-be55-897fa741d542
321,1421973,country parks,SCADBURY ESTATE,Known as a Country Park,303.39,TQ449694,SCADBURY ESTATE (Country Park),,3033879.69132996,14806.6932288338,5ce5a952-4b5b-45d2-952d-5135e28cd879
322,1421974,country parks,SEATON,Known as a Country Park,55.15,SX303554,SEATON (Country Park),,551459.539665222,10644.173119798,0d3f1641-3354-43b6-8e13-cc7e65b70399
323,1421938,country parks,SENCE VALLEY,Known as a Country Park,64.25,SK399111,SENCE VALLEY (Country Park),,642472.296432495,4328.21459513502,b485fe07-7765-4d64-95ae-992a54c77db1
324,1443030,country parks,SEVEN ACRES,Known as a Country Park,30.69,SD736100,SEVEN ACRES (Country Park),,306883.567871094,3685.09193600796,02b856b7-fc43-4376-ac3b-b9a9a2cd0e59
325,1421975,country parks,SEVEN SISTERS,Known as a Country Park,279.48,TV523985,SEVEN SISTERS (Country Park),,2794756.98206711,13128.00947187,cb68f1fd-3bd6-4b28-ba1a-80552b4badab
326,1421976,country parks,SEVERN VALLEY,Known as a Country Park,50.84,SO751838,SEVERN VALLEY (Country Park),GSP001101,508425.985694885,7876.13610917922,d4770cd3-aed6-4842-8299-8d64b595d584
327,1443078,country parks,SHEET HEDGES,Known as a Country Park,30.67,SK527087,SHEET HEDGES (Country Park),,306683.419998169,3616.92174031924,a67546a7-19f3-4057-841b-0babb18d1c13
328,1443104,country parks,SHELDON,Known as a Country Park,67.3,SP156848,SHELDON (Country Park),,672952.442710876,10822.9345709217,c032caec-ab96-40c8-95ec-16862839b937
329,1421977,country parks,SHERWOOD FOREST,Known as a Country Park,76.15,SK623677,SHERWOOD FOREST (Country Park),GSP001122,761453.424545288,3956.51655583783,13f4faff-2cc1-40e5-b154-a4d0e44ab87a
330,1443105,country parks,SHINEWATER PARK,Known as a Country Park,70.24,TQ612031,SHINEWATER PARK (Country Park),,702449.471378326,4295.8168383481,ac27b53b-02a3-441f-b20c-a912551b613f
331,1421978,country parks,SHIPLEY,Known as a Country Park,366.49,SK439441,SHIPLEY (Country Park),GSP003224,3664905.71517944,21789.6172703988,0f5b24a4-b343-4f9e-b5e4-b6c82c125506
332,1421979,country parks,SHORNE WOOD,Known as a Country Park,129.45,TQ682701,SHORNE WOOD (Country Park),GSP002021,1294477.90013885,7135.19971900697,87d998e6-d1ef-4741-8696-972cccfc856b
333,1421980,country parks,SHOTOVER,Known as a Country Park,113.07,SP560053,SHOTOVER (Country Park),,1130741.73002625,9692.19322285047,550eff46-9cb8-474a-b319-e5142fbbf0ba
334,1443031,country parks,SMITHILLS,Known as a Country Park,793.76,SD675129,SMITHILLS (Country Park),,7937627.29974365,15580.7787355268,7a2986b9-76df-41a3-9ab0-edbbdd122727
335,1443004,country parks,SNIPE DALES,Known as a Country Park,40.2,TF333684,SNIPE DALES (Country Park),,401953.707717896,2998.476481631,0e6b766f-e2b5-4b66-a5d0-3a401333328b
336,1442736,country parks,SOUTHAMPTON COMMON,Known as a Country Park,143.26,SU415145,SOUTHAMPTON COMMON (Country Park),GSP001476,1432640.45140839,9411.17043220838,67ca6a61-abad-4877-b35e-8646e6dd87c0
337,1442719,country parks,SOUTHERN PARKLAND,Known as a Country Park,23.39,TL475192,SOUTHERN PARKLAND (Country Park),,233949.443901062,3439.20725382385,a951b614-2f2d-4968-9c39-79964e83e2fe
338,1421982,country parks,SOUTHWATER,Known as a Country Park,31.26,TQ160258,SOUTHWATER (Country Park),,312571.453865051,5310.64183668956,af083d7b-ad15-4b2e-89c8-ae26c4c21751
339,1421983,country parks,STADT MOERS,Known as a Country Park,87.4,SJ462908,STADT MOERS (Country Park),,873970.628509521,9660.06341013688,ce47b053-dc0f-4e6e-ae12-a202f9a21de2
340,1443109,country parks,STANNEY WOODS,Known as a Country Park,22.28,SJ398741,STANNEY WOODS (Country Park),GSP001492,222822.833724976,2327.69729300642,f86c02ee-ae30-4a14-a41c-72df1c8f8349
341,1442743,country parks,STANTON PARK,Known as a Country Park,74.5,SU177896,STANTON PARK (Country Park),GSP003426,744980.629760742,4278.15742538426,0ebf9e34-32e8-4d71-a626-ae09a4a3bda1
342,1442726,country parks,STANWICK LAKES,Known as a Country Park,238.12,SP967717,STANWICK LAKES (Country Park),,2381236.71596527,10239.6089305812,ff028c26-887e-4f66-8549-e33972b3d308
343,1421985,country parks,STAUNTON,Known as a Country Park,193.74,SU715093,STAUNTON (Country Park),GSP001157,1937416.71538544,8926.49491598264,df2870f8-8e05-4ed6-9bcd-1af3ca5e44be
344,1421986,country parks,STOCKGROVE,Known as a Country Park,13.86,SP917293,STOCKGROVE (Country Park),,138584.393241882,2044.66660954126,41193b73-edfc-41dd-8c7e-7aac98870643
345,1443110,country parks,STOCKLEY,Known as a Country Park,18,TQ072808,STOCKLEY (Country Park),,180047.475662231,2094.48355936942,1d5cf199-1e23-400b-8c46-7a6ffcbfc3c4
346,1421987,country parks,STOVER,Accredited,45.67,SX834752,STOVER (Country Park),GSP001107,456707.941350937,3751.21365273932,a0a4c2b3-5073-4f09-b6e3-aa2cd406935e
347,1421988,country parks,SUMMERHILL,Known as a Country Park,41.37,NZ486313,SUMMERHILL (Country Park),GSP001581,413683.005325317,3456.4579302689,b2f08ba0-82ce-4dba-8255-796aba98cf2d
348,1421989,country parks,SUNDON HILLS,Known as a Country Park,48.96,TL052289,SUNDON HILLS (Country Park),,489618.196624756,4883.45015730915,98088013-1a21-481f-b907-db30f9b8c6e8
349,1443158,country parks,SUTTON PARK,Known as a Country Park,811.13,SP098970,SUTTON PARK (Country Park),,8111282.46339417,23021.059855953,42b6da89-fc68-4aae-aff8-f91c7818497d
350,1421991,country parks,SWANSCOMBE HERITAGE PARK,Known as a Country Park,28.08,TQ596744,SWANSCOMBE HERITAGE PARK (Country Park),,280816.291023254,3166.85918486306,9b8be6fe-b390-44c4-ac86-ab5589d4b7e7
351,1451102,country parks,SWIFT VALLEY,Known as a Country Park,26.69,SP504780,SWIFT VALLEY (Country Park),,266939.960235596,2973.16106506733,61cdc047-bcb2-4d8d-9f7a-d25b79c1c829
352,1421994,country parks,TANDLE HILL,Known as a Country Park,47.26,SD904085,TANDLE HILL (Country Park),,472584.489440918,3318.28996253018,ba55c252-7741-46d3-b989-ff9d5c142adb
353,1421992,country parks,SYWELL,Known as a Country Park,57.22,SP830656,SYWELL (Country Park),GSP001442,572231.930557251,5576.02446242134,0cc850dd-1707-4fd7-b91a-92cc8093e32a
354,1421993,country parks,TALKIN TARN,Known as a Country Park,61.87,NY544587,TALKIN TARN (Country Park),,618729.953842163,3601.19079187755,276f5903-8283-49a5-9ea5-ce263250b799
355,1421995,country parks,TATTON PARK,Known as a Country Park,415.82,SJ750810,TATTON PARK (Country Park),GSP002283,4158153.84111023,12876.6343465351,543eb3d8-663a-447a-a604-8af4033efeb7
356,1421996,country parks,TEGGS NOSE,Accredited,52.81,SJ947723,TEGGS NOSE (Country Park),GSP001738,528051.124862671,3999.9559142966,9814e051-52d0-479b-98e7-4c2600811d18
357,1421997,country parks,TEHIDY,Known as a Country Park,104.79,SW641433,TEHIDY (Country Park),,1047856.41479063,13584.3383377333,bac4437a-aefc-40ce-90b4-a4898a1e54bc
358,1451103,country parks,TERRACED GARDENS RIVINGTON,Known as a Country Park,19.89,SD638140,TERRACED GARDENS RIVINGTON (Country Park),,198936.952987671,2138.16826057235,48b891d6-f222-484b-a04f-c54c7573a222
359,1451104,country parks,TESTON BRIDGE,Known as a Country Park,12.43,TQ706530,TESTON BRIDGE (Country Park),,124261.497566223,1535.22762978221,6ca2da04-b9f0-4948-b628-2bf93789a18a
360,1442744,country parks,THE MERE AT ELLESMERE,Known as a Country Park,64.32,SJ406348,THE MERE AT ELLESMERE (Country Park),,643200.177818298,4570.64401181913,c525b25c-053c-4acc-9b27-8f6d0d829823
361,1443156,country parks,THE SHIRE,Known as a Country Park,91.28,SP093801,THE SHIRE (Country Park),,912833.140556335,20516.9661400274,185daafe-80fe-418c-b644-f3f7a0c44c94
362,1421999,country parks,THORNDON,Known as a Country Park,222.9,TQ619897,THORNDON (Country Park),GSP001967,2228962.21108246,16368.5893303494,47c6aaa4-e618-4ebd-ab15-6c6f1300ed82
363,1443032,country parks,THORNEY PARK,Known as a Country Park,21.03,TQ047791,THORNEY PARK (Country Park),,210341.856697083,2207.57767952766,236f5d72-03a1-49c0-a02a-08af6108872e
364,1422000,country parks,THRYBERGH,Known as a Country Park,31.72,SK475959,THRYBERGH (Country Park),GSP001264,317169.513381958,3509.53607751955,b2e49e5f-76eb-4a22-bb9a-b792e77cb223
365,1422001,country parks,TILGATE PARK,Known as a Country Park,100.28,TQ275342,TILGATE PARK (Country Park),GSP000980,1002829.7853775,5198.34710601348,73eff82e-8974-4534-b0c6-49d81f76176a
366,1443006,country parks,TRENT PARK,Known as a Country Park,126.58,TQ294970,TRENT PARK (Country Park),,1265762.53549194,15388.2574881613,a6284143-b81e-4af4-a03c-cddd9c260409
367,1422002,country parks,TROSLEY,Known as a Country Park,51.87,TQ641612,TROSLEY (Country Park),GSP001567,518718.435813904,4308.29550465439,0e1ed810-7647-4e78-9818-68bfaa930eb8
368,1422003,country parks,TYNE GREEN,Known as a Country Park,53.55,NZ154656,TYNE GREEN (Country Park),,535484.243988037,7507.60316362469,d2f169ae-132d-401c-a4c4-1eeaa4df88a6
